Release,ClassName,SizeLOC
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/ReportletConfInstance.java",65
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/SchedTask.java",51
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/SchemaMapping.java",157
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/SyncPolicy.java",40
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/SyncTask.java",152
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/SyncopeConf.java",52
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/SyncopeLogger.java",69
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/Task.java",74
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/TaskExec.java",64
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/UserRequest.java",91
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MAttr.java",139
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MAttrUniqueValue.java",76
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MAttrValue.java",57
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MDerAttr.java",62
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MDerSchema.java",31
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MSchema.java",28
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MVirAttr.java",70
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/membership/MVirSchema.java",31
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/membership/Membership.java",208
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/package-info.java",20
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/role/RAttr.java",136
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/role/RAttrUniqueValue.java",72
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/role/RAttrValue.java",57
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/role/RDerAttr.java",63
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/role/RDerSchema.java",29
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/role/RSchema.java",28
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/role/RVirAttr.java",69
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/role/RVirSchema.java",31
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/role/SyncopeRole.java",420
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/user/SyncopeUser.java",573
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/user/UAttr.java",157
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/user/UAttrUniqueValue.java",72
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/user/UAttrValue.java",57
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/user/UDerAttr.java",63
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/user/UDerSchema.java",31
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/user/USchema.java",32
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/user/UVirAttr.java",72
1,"core/src/main/java/org/apache/syncope/core/persistence/beans/user/UVirSchema.java",32
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/AttrDAO.java",36
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/AttrValueDAO.java",36
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/ConfDAO.java",36
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/ConnInstanceDAO.java",34
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/DAO.java",32
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/DerAttrDAO.java",36
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/DerSchemaDAO.java",38
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/EntitlementDAO.java",39
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/LoggerDAO.java",37
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/MembershipDAO.java",38
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/MissingConfKeyException.java",33
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/NotificationDAO.java",34
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/PolicyDAO.java",45
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/ReportDAO.java",40
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/ReportExecDAO.java",41
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/ResourceDAO.java",44
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/RoleDAO.java",53
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/SchemaDAO.java",38
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/TaskDAO.java",53
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/TaskExecDAO.java",43
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/UserDAO.java",56
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/UserRequestDAO.java",34
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/UserSearchDAO.java",59
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/VirAttrDAO.java",36
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/VirSchemaDAO.java",38
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AbstractDAOImpl.java",92
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttrDAOImpl.java",66
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AttrValueDAOImpl.java",68
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/ConfDAOImpl.java",75
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/ConnInstanceDAOImpl.java",88
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/DerAttrDAOImpl.java",69
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/DerSchemaDAOImpl.java",102
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/EntitlementDAOImpl.java",86
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/LoggerDAOImpl.java",68
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/MembershipDAOImpl.java",90
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/NotificationDAOImpl.java",52
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/PolicyDAOImpl.java",86
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/ReportDAOImpl.java",85
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/ReportExecDAOImpl.java",100
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/ResourceDAOImpl.java",170
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/RoleDAOImpl.java",200
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/SchemaDAOImpl.java",94
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/TaskDAOImpl.java",190
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/TaskExecDAOImpl.java",121
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/UserDAOImpl.java",524
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/UserRequestDAOImpl.java",56
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/UserSearchDAOImpl.java",549
1,"core/src/main/java/org/apache/syncope/core/persistence/dao/impl/VirAttrDAOImpl.java",69
