Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/Logout.java",0,2,0,114,0,4,81,25,48,25,34,291,2295,781,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/MembershipModalPage.java",2,5,2,2492,0,3,1294,413,96,413,76,541,3406,731,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/NotificationModalPage.java",6,12,16,405,0,4,332,156,259,156,46,413,2929,272,3,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/NotificationTaskModalPage.java",0,3,0,133,0,4,101,67,69,67,39,369,2802,272,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/PolicyModalPage.java",5,13,25,464,0,4,335,247,206,247,42,374,2763,282,5,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/PropagationTaskModalPage.java",0,2,0,165,0,3,105,47,45,47,40,338,2499,452,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/ReportExecResultDownloadModalPage.java",3,2,3,102,0,1,86,76,70,76,23,187,1394,164,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/ReportModalPage.java",35,16,64,942,0,2,758,453,574,453,25,193,1421,164,6,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/ReportletConfModalPage.java",10,17,69,486,0,1,417,348,348,348,17,161,1304,152,4,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/Reports.java",24,14,36,689,0,4,592,285,495,284,48,391,2836,783,5,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/ResourceModalPage.java",3,7,9,5435,0,4,2800,374,165,374,162,919,4206,752,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/Resources.java",28,10,34,2020,0,4,1263,328,506,296,103,653,3762,783,13,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/RoleModalPage.java",2,5,5,4661,0,3,2391,437,121,413,107,670,3800,731,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/Roles.java",1,3,3,882,0,3,489,252,96,250,56,423,3074,783,4,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/SchedTaskModalPage.java",1,2,1,543,0,4,301,167,59,167,62,475,3159,382,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/Schema.java",23,14,39,8466,0,3,4661,753,856,372,108,668,3823,776,40,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/SchemaModalPage.java",9,9,37,1217,0,5,759,162,301,162,85,557,3505,758,6,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/StatusModalPage.java",4,4,7,624,0,3,369,301,114,301,36,338,2696,191,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/SyncTaskModalPage.java",2,6,3,512,0,3,312,132,112,132,69,493,3128,382,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/TaskModalPage.java",9,13,11,1455,0,4,845,301,235,301,93,616,3650,647,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/Tasks.java",11,9,16,2208,0,4,1208,151,208,133,110,688,3855,783,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/Todo.java",24,14,37,1223,0,3,853,334,483,334,47,417,2982,282,8,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/UserModalPage.java",8,8,16,8738,0,4,4477,703,216,485,141,820,4137,731,3,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/UserRequestModalPage.java",2,6,10,246,0,3,192,118,138,118,37,344,2736,177,3,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/UserTemplateModalPage.java",2,3,2,142,0,3,102,47,62,47,36,338,2724,452,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/Users.java",7,5,11,8962,0,4,4558,539,154,450,174,975,4554,783,3,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/VirtualSchemaModalPage.java",3,5,11,260,0,3,187,106,114,106,47,397,2960,452,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/WelcomePage.java",0,2,0,439,0,4,242,96,45,86,51,435,3038,783,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/AccountInformationPanel.java",0,3,0,158,0,3,120,81,82,81,32,321,2637,177,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/AttributesPanel.java",8,17,38,1112,0,5,690,329,268,329,69,511,3239,367,3,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/DerivedAttributesPanel.java",8,7,12,442,0,3,309,159,176,159,47,393,2859,450,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/JQueryTabbedPanel.java",1,0,1,159,0,3,98,15,37,14,49,397,2537,783,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/NotificationTasks.java",8,13,14,2005,0,5,1121,151,237,133,97,621,3714,783,7,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/PoliciesPanel.java",15,14,23,798,0,4,566,350,334,350,49,404,2912,333,5,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/PolicyBeanPanel.java",10,13,22,869,0,4,566,309,263,309,61,483,3151,339,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/PropagationTasks.java",8,13,14,1977,0,5,1113,151,249,133,100,628,3726,783,6,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResourceConnConfPanel.java",6,13,27,617,0,4,461,371,305,371,42,358,2749,177,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResourceDetailsPanel.java",7,10,11,543,0,4,389,270,235,270,37,345,2734,177,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java",16,14,61,1537,0,5,1032,532,527,532,51,381,2778,177,0,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResourceSecurityPanel.java",5,5,15,469,0,3,332,217,195,217,45,412,2910,291,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResourcesPanel.java",1,4,2,182,0,4,126,63,70,63,34,333,2672,367,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/ResultSetPanel.java",25,18,46,1541,0,4,1048,555,555,555,60,474,3108,275,2,Yes
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/RoleAttributesPanel.java",1,5,1,238,0,3,174,135,110,135,38,360,2765,268,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/RoleSecurityPanel.java",6,6,11,412,0,3,303,217,194,217,43,408,2880,291,1,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/RoleSummaryPanel.java",5,3,8,300,0,3,220,160,140,160,35,347,2717,268,5,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/RoleTabPanel.java",2,5,2,176,0,3,138,103,100,103,34,344,2714,268,2,No
SYNCOPE,1,"console/src/main/java/org/apache/syncope/console/pages/panels/RolesPanel.java",9,7,13,481,0,3,334,187,187,187,52,404,2866,367,2,No
