Project,Release,ClassName,NOM,FanOut,CyclomaticComplexity,LOCTouched,NFix,NAuth,LOCAdded,MaxLOCAdded,Churn,MaxChurn,NS,ND,ChangeSetSize,Age,NSmells,Bugginess
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/persistence/validation/entity/USchemaValidator.java,2,4,8,0,0,3,0,0,0,0,0,0,0,312,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/policy/AccountPolicyEnforcer.java,1,9,25,0,0,4,0,0,0,0,0,0,0,305,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/policy/PolicyEnforcer.java,1,2,1,0,0,3,0,0,0,0,0,0,0,375,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/propagation/PropagationHandler.java,1,1,1,0,0,3,0,0,0,0,0,0,0,197,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/rest/data/ReportDataBinder.java,6,10,21,0,0,3,0,0,0,0,0,0,0,200,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/scheduling/AbstractTaskJob.java,4,4,7,0,0,3,0,0,0,0,0,0,0,398,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/scheduling/NotificationJob.java,4,10,27,0,0,5,0,0,0,0,0,0,0,295,0,Yes
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/scheduling/ReportJob.java,2,13,11,0,0,3,0,0,0,0,0,0,0,200,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/scheduling/ReportXMLConst.java,0,0,0,0,0,3,0,0,0,0,0,0,0,406,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/scheduling/SpringBeanJobFactory.java,3,5,12,0,0,4,0,0,0,0,0,0,0,274,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/scheduling/SyncResult.java,13,2,18,0,0,3,0,0,0,0,0,0,0,298,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/security/AsymmetricCipher.java,5,0,5,0,0,3,0,0,0,0,0,0,0,781,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/security/NullSecurityContextRepository.java,3,0,3,0,0,3,0,0,0,0,0,0,0,544,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/util/EntitlementUtil.java,6,1,16,0,0,4,0,0,0,0,0,0,0,544,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/util/multiparent/MultiParentNodeOp.java,2,0,6,0,0,4,0,0,0,0,0,0,0,229,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/workflow/NoOpUserWorkflowAdapter.java,15,8,19,0,0,4,0,0,0,0,0,0,0,330,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/workflow/UserWorkflowAdapter.java,17,6,17,0,0,4,0,0,0,0,0,0,0,330,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/workflow/activiti/Reactivate.java,1,0,1,0,0,3,0,0,0,0,0,0,0,406,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/workflow/activiti/Suspend.java,1,0,1,0,0,3,0,0,0,0,0,0,0,406,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeGroupManager.java,10,4,14,0,0,3,0,0,0,0,0,0,0,307,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeGroupQueryImpl.java,16,2,25,0,0,3,0,0,0,0,0,0,0,307,0,No
SYNCOPE,2,core/src/main/java/org/apache/syncope/core/workflow/activiti/SyncopeUserQueryImpl.java,20,7,35,0,0,3,0,0,0,0,0,0,0,307,0,No
