@relation dataset_Bplus-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
10,13,22,0,0,5,0,0,0,0,0,0,0,396,1,No
7,10,11,0,0,4,0,0,0,0,0,0,0,234,1,No
5,5,15,0,0,3,0,0,0,0,0,0,0,348,1,No
1,5,1,0,0,4,0,0,0,0,0,0,0,325,1,No
6,6,11,0,0,3,0,0,0,0,0,0,0,348,1,No
2,5,2,0,0,4,0,0,0,0,0,0,0,325,1,No
0,0,0,0,0,4,0,0,0,0,0,0,0,879,1,No
11,6,21,0,0,5,0,0,0,0,0,0,0,815,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,840,1,No
1,1,10,0,0,3,0,0,0,0,0,0,0,326,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,879,1,No
5,0,16,0,0,4,0,0,0,0,0,0,0,788,1,No
5,0,5,0,0,4,0,0,0,0,0,0,0,788,1,No
6,1,32,0,0,5,0,0,0,0,0,0,0,396,1,No
19,0,35,0,0,3,0,0,0,0,0,0,0,396,1,No
9,0,30,0,0,1,0,0,0,0,0,0,0,209,1,No
4,4,5,0,0,3,0,0,0,0,0,0,0,325,1,No
1,1,4,0,0,4,0,0,0,0,0,0,0,353,1,Yes
7,21,26,0,1,4,0,0,0,0,0,0,0,329,1,No
9,1,18,0,0,4,0,0,0,0,0,0,0,879,1,No
9,1,9,0,0,3,0,0,0,0,0,0,0,836,1,No
7,1,7,0,0,3,0,0,0,0,0,0,0,836,1,No
19,3,25,0,0,3,0,0,0,0,0,0,0,844,1,No
39,6,49,0,0,5,0,0,0,0,0,0,0,824,1,No
13,2,27,0,0,3,0,0,0,0,0,0,0,234,1,No
17,4,18,0,0,4,0,0,0,0,0,0,0,440,1,No
24,7,30,0,0,5,0,0,0,0,0,0,0,803,1,No
53,9,96,0,0,5,0,0,0,0,0,0,0,833,1,Yes
12,5,12,0,0,3,0,0,0,0,0,0,0,879,1,No
5,3,9,0,0,3,0,0,0,0,0,0,0,868,1,No
8,12,19,0,0,3,0,0,0,0,0,0,0,824,1,No
14,8,26,0,0,3,0,0,0,0,0,0,0,868,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,879,1,No
2,2,7,0,0,3,0,0,0,0,0,0,0,336,1,No
2,4,12,0,0,4,0,0,0,0,0,0,0,388,1,No
2,3,9,0,0,5,0,0,0,0,0,0,0,434,1,No
4,13,19,0,0,4,0,0,0,0,0,0,0,346,1,No
2,4,8,0,0,3,0,0,0,0,0,0,0,346,1,No
1,9,25,0,0,4,0,0,0,0,0,0,0,339,1,No
1,2,1,0,0,3,0,0,0,0,0,0,0,409,1,No
1,1,1,0,0,3,0,0,0,0,0,0,0,231,1,No
6,10,21,0,0,3,0,0,0,0,0,0,0,234,1,No
4,4,7,0,0,3,0,0,0,0,0,0,0,432,1,No
4,10,27,16,2,5,8,8,0,0,1,8,14,329,1,No
2,13,11,0,0,3,0,0,0,0,0,0,0,234,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,440,1,No
3,5,12,0,0,4,0,0,0,0,0,0,0,308,1,No
13,2,18,0,0,3,0,0,0,0,0,0,0,332,1,No
5,0,5,0,0,3,0,0,0,0,0,0,0,815,1,No
3,0,3,0,0,3,0,0,0,0,0,0,0,578,1,No
6,1,16,0,0,4,0,0,0,0,0,0,0,578,1,Yes
2,0,6,0,0,4,0,0,0,0,0,0,0,263,1,No
15,8,19,0,0,5,0,0,0,0,0,0,0,364,1,Yes
17,6,17,0,0,4,0,0,0,0,0,0,0,364,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,440,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,440,1,No
10,4,14,0,0,4,0,0,0,0,0,0,0,341,1,No
16,2,25,0,0,4,0,0,0,0,0,0,0,341,1,No
20,7,35,0,0,4,0,0,0,0,0,0,0,341,1,No
6,0,18,0,0,3,0,0,0,0,0,0,0,363,1,No
5,0,17,0,0,3,0,0,0,0,0,0,0,363,1,No
0,0,0,0,0,4,0,0,0,0,0,0,0,509,1,No
5,1,6,0,0,3,0,0,0,0,0,0,0,948,1,No
25,1,52,0,0,3,0,0,0,0,0,0,0,795,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,909,1,No
8,0,8,0,0,4,0,0,0,0,0,0,0,948,1,No
29,0,39,0,0,4,0,0,0,0,0,0,0,915,1,No
18,1,24,0,0,4,0,0,0,0,0,0,0,411,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,909,1,No
15,1,17,0,0,4,0,0,0,0,0,0,0,948,1,No
7,1,8,0,0,3,0,0,0,0,0,0,0,948,1,No
2,0,3,0,0,1,0,0,0,0,0,0,0,235,1,No
3,0,6,0,0,3,0,0,0,0,0,0,0,893,1,No
1,1,8,0,0,3,0,0,0,0,0,0,0,772,1,No
6,2,11,0,0,3,0,0,0,0,0,0,0,668,1,No
1,7,3,0,0,3,0,0,0,0,0,0,0,578,1,No
7,0,12,0,0,3,0,0,0,0,0,0,0,508,1,No
8,2,28,0,0,1,0,0,0,0,0,0,0,290,1,No
2,6,7,0,0,4,0,0,0,0,0,0,0,508,1,No
2,3,2,0,0,3,0,0,0,0,0,0,0,578,1,No
3,5,11,0,0,4,0,0,0,0,0,0,0,884,1,No
10,5,18,0,0,3,0,0,0,0,0,0,0,857,1,No
0,2,0,0,0,4,0,0,0,0,0,0,0,907,1,No
2,5,2,0,0,4,0,0,0,0,0,0,0,857,1,No
2,5,5,0,0,4,0,0,0,0,0,0,0,857,1,No
3,5,11,0,0,3,0,0,0,0,0,0,0,578,1,No
10,13,22,0,0,5,0,0,0,0,0,0,0,465,1,Yes
7,10,11,0,0,4,0,0,0,0,0,0,0,303,1,No
5,5,15,0,0,3,0,0,0,0,0,0,0,417,1,No
1,5,1,0,0,4,0,0,0,0,0,0,0,394,1,No
6,6,11,0,0,3,0,0,0,0,0,0,0,417,1,No
2,5,2,0,0,4,0,0,0,0,0,0,0,394,1,No
0,0,0,0,0,4,0,0,0,0,0,0,0,948,1,No
11,6,21,0,0,5,0,0,0,0,0,0,0,884,1,No
0,0,0,0,0,3,0,0,0,0,0,0,0,909,1,No
1,1,10,0,0,3,0,0,0,0,0,0,0,395,1,No
1,0,1,0,0,3,0,0,0,0,0,0,0,948,1,No
5,0,16,0,0,4,0,0,0,0,0,0,0,857,1,No
5,0,5,0,0,4,0,0,0,0,0,0,0,857,1,No
6,1,32,0,0,5,0,0,0,0,0,0,0,465,1,No
19,0,35,0,0,3,0,0,0,0,0,0,0,465,1,No
9,0,30,0,0,1,0,0,0,0,0,0,0,278,1,No
4,4,5,0,0,3,0,0,0,0,0,0,0,394,1,No
1,1,4,7,1,4,3,3,-1,0,1,6,17,422,1,No
7,21,26,0,1,4,0,0,0,0,0,0,0,398,1,No
9,1,18,0,0,4,0,0,0,0,0,0,0,948,1,No
9,1,9,0,0,3,0,0,0,0,0,0,0,905,1,No
7,1,7,0,0,3,0,0,0,0,0,0,0,905,1,No
19,3,25,0,0,3,0,0,0,0,0,0,0,913,1,No
39,6,49,0,0,5,0,0,0,0,0,0,0,893,1,No
13,2,27,0,0,3,0,0,0,0,0,0,0,303,1,No
17,4,18,0,0,4,0,0,0,0,0,0,0,509,1,No
