@relation dataset_SYNCOPE_final-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute NOM numeric
@attribute FanOut numeric
@attribute CyclomaticComplexity numeric
@attribute LOCTouched numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOCAdded numeric
@attribute MaxLOCAdded numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute NS numeric
@attribute ND numeric
@attribute ChangeSetSize numeric
@attribute Age numeric
@attribute NSmells numeric
@attribute Bugginess {No,Yes}

@data
2,5,12,202,0,3,137,51,72,51,54,429,2834,618,2,Yes
0,0,0,82,0,3,61,37,40,37,38,359,2702,383,0,No
2,3,6,301,0,3,186,87,71,87,47,415,2812,383,2,No
0,0,0,70,0,3,55,37,40,37,33,333,2640,383,0,No
2,3,8,255,0,6,163,87,71,87,49,427,2821,383,2,No
0,0,0,72,0,3,56,38,40,38,31,331,2640,618,0,No
0,0,0,84,0,3,62,38,40,38,38,375,2732,618,0,No
2,4,12,197,0,4,136,63,75,63,45,400,2777,331,1,No
2,3,9,191,0,3,133,51,75,51,41,381,2753,618,2,No
0,0,0,76,0,3,58,37,40,37,35,339,2647,383,0,No
2,3,9,158,0,5,122,65,86,65,40,368,2699,377,1,No
0,0,0,84,0,3,62,38,40,38,41,390,2769,618,0,No
4,13,19,367,0,4,273,196,179,196,43,403,2776,289,1,No
